"","X","Year","Country","avg_f0","GEI","1st Qu.","3rd Qu.","Mean","GE_status"
"1",1,1965,"Finland",218.94,74.10888,57.45337,66.14779,61.3410502970297,"High"
"2",2,1965,"Netherlands",217.16,67.10874,57.45337,66.14779,61.3410502970297,"High"
"3",3,1965,"Sweden",217.724,70.08254,57.45337,66.14779,61.3410502970297,"High"
"4",4,1965,"Thailand",230.265714285714,63.15021,57.45337,66.14779,61.3410502970297,"Medium"
"5",5,1965,"United States",189.323333333333,67.24675,57.45337,66.14779,61.3410502970297,"High"
"6",6,1969,"Australia",283.643333333333,62.6885,58.01025,65.94848,61.8242356435644,"Medium"
"7",7,1969,"Finland",230.77,71.83257,58.01025,65.94848,61.8242356435644,"High"
"8",8,1969,"Israel",213.04,67.1411,58.01025,65.94848,61.8242356435644,"High"
"9",9,1969,"Japan",304.25,67.5368,58.01025,65.94848,61.8242356435644,"High"
"10",10,1969,"Philippines",248.88,64.57971,58.01025,65.94848,61.8242356435644,"Medium"
"11",11,1973,"Israel",236.263333333333,66.4777,58.57526,66.31171,62.6786897029703,"High"
"12",12,1973,"Norway",244.753333333333,71.26114,58.57526,66.31171,62.6786897029703,"High"
"13",13,1973,"Philippines",267.98,62.92959,58.57526,66.31171,62.6786897029703,"Medium"
"14",14,1973,"Spain",248.08,64.846,58.57526,66.31171,62.6786897029703,"Medium"
"15",15,1973,"United States",219.65,71.55656,58.57526,66.31171,62.6786897029703,"High"
"16",16,1977,"Austria",240.305,65.8865,59.58713,67.81468,63.3066162376238,"Medium"
"17",17,1977,"Colombia",270.76,65.55213,59.58713,67.81468,63.3066162376238,"Medium"
"18",18,1977,"Germany",237.95,66.56367,59.58713,67.81468,63.3066162376238,"Medium"
"19",19,1977,"Scotland",252.82,NA,59.58713,67.81468,63.3066162376238,NA
"20",20,1977,"Trinidad and Tobago",226.2,67.90091,59.58713,67.81468,63.3066162376238,"High"
"21",21,1980,"New Zealand",210.26,66.06101,59.44775,67.81253,63.9005081188119,"Medium"
"22",22,1980,"Philippines",244.57,64.79532,59.44775,67.81253,63.9005081188119,"Medium"
"23",23,1980,"Scotland",219.44,NA,59.44775,67.81253,63.9005081188119,NA
"24",24,1980,"Sweden",220.3,77.8681,59.44775,67.81253,63.9005081188119,"High"
"25",25,1980,"United States",240.57,68.53705,59.44775,67.81253,63.9005081188119,"High"
"26",26,1984,"Colombia",245.35,65.62229,60.6471,68.93391,65.0616528712871,"Medium"
"27",27,1984,"Philippines",235.39,68.50579,60.6471,68.93391,65.0616528712871,"Medium"
"28",28,1984,"South Africa",253.29,65.7895,60.6471,68.93391,65.0616528712871,"Medium"
"29",29,1984,"Sweden",210.44,80.49219,60.6471,68.93391,65.0616528712871,"High"
"30",30,1984,"Venezuela",251.8,63.12421,60.6471,68.93391,65.0616528712871,"Medium"
"31",31,1990,"Bolivia",226.54,63.53902,62.00148,70.72687,66.5083996039604,"Medium"
"32",32,1990,"Chile",235.56,66.43027,62.00148,70.72687,66.5083996039604,"Medium"
"33",33,1990,"Colombia",229.14,69.86977,62.00148,70.72687,66.5083996039604,"Medium"
"34",34,1990,"Mexico",223.24,66.1844,62.00148,70.72687,66.5083996039604,"Medium"
"35",35,1990,"Norway",222.82,82.11687,62.00148,70.72687,66.5083996039604,"High"
"36",36,1990,"United States",183.86,72.02407,62.00148,70.72687,66.5083996039604,"High"
"37",37,1992,"Belgium",243.3,72.26438,62.92987,70.88789,66.8264215044248,"High"
"38",38,1992,"Colombia",213.05,71.22449,62.92987,70.88789,66.8264215044248,"High"
"39",39,1992,"India",237.82,57.13754,62.92987,70.88789,66.8264215044248,"Low"
"40",40,1992,"Namibia",227.56,69.39633,62.92987,70.88789,66.8264215044248,"Medium"
"41",41,1992,"Netherlands",209.7,75.62459,62.92987,70.88789,66.8264215044248,"High"
"42",42,1992,"Venezuela",243.46,67.5937,62.92987,70.88789,66.8264215044248,"Medium"
"43",43,1998,"Colombia",211.87,72.98632,63.572475,72.96643,68.5455730701754,"High"
"44",44,1998,"Puerto Rico",263.155,NA,63.572475,72.96643,68.5455730701754,NA
"45",45,1998,"Trinidad and Tobago",251.98,70.55976,63.572475,72.96643,68.5455730701754,"Medium"
"46",46,1998,"United States",213.493333333333,74.48528,63.572475,72.96643,68.5455730701754,"High"
"47",47,1998,"Venezuela",258.32,68.33181,63.572475,72.96643,68.5455730701754,"Medium"
"48",48,2003,"Dominican Republic",206.17,71.28186,64.06813,75.68928,70.2827019469026,"Medium"
"49",49,2003,"Japan",287.393333333333,70.21317,64.06813,75.68928,70.2827019469026,"Medium"
"50",50,2003,"Serbia & Montenegro",226.1,NA,64.06813,75.68928,70.2827019469026,NA
"51",51,2003,"South Africa",244.95,81.74702,64.06813,75.68928,70.2827019469026,"High"
"52",52,2003,"Venezuela",262.315,68.01649,64.06813,75.68928,70.2827019469026,"Medium"
"53",53,2008,"Colombia",293.686666666667,71.4325,64.27104,73.68088,68.9911959649123,"Medium"
"54",54,2008,"Dominican Republic",276.538333333333,68.52036,64.27104,73.68088,68.9911959649123,"Medium"
"55",55,2008,"Mexico",305.88,68.56872,64.27104,73.68088,68.9911959649123,"Medium"
"56",56,2008,"Russia",211.12,70.63505,64.27104,73.68088,68.9911959649123,"Medium"
"57",57,2008,"Venezuela",265.22,67.61916,64.27104,73.68088,68.9911959649123,"Medium"
"58",58,2013,"Brazil",216.586,72.82112,64.1394425,73.857225,69.4580192105263,"Medium"
"59",59,2013,"Ecuador",268.024,69.01155,64.1394425,73.857225,69.4580192105263,"Medium"
"60",60,2013,"Philippines",253.52,70.35271,64.1394425,73.857225,69.4580192105263,"Medium"
"61",61,2013,"Spain",228.7225,74.55952,64.1394425,73.857225,69.4580192105263,"High"
"62",62,2013,"Venezuela",245.4475,67.61873,64.1394425,73.857225,69.4580192105263,"Medium"
"63",63,2018,"Philippines",279.84,70.36515,63.714015,73.9793475,69.4093930701754,"Medium"
"64",64,2018,"Puerto Rico",248.31,NA,63.714015,73.9793475,69.4093930701754,NA
"65",65,2018,"South Africa",263.93,97.52986,63.714015,73.9793475,69.4093930701754,"High"
"66",66,2018,"Venezuela",258.4175,67.6209,63.714015,73.9793475,69.4093930701754,"Medium"
"67",67,2018,"Vietnam",282.703333333333,NA,63.714015,73.9793475,69.4093930701754,NA
