year,Russia,Germany,Iran,Bangladesh,Malaysia,Yemen,Israel,Saudi Arabia,Liberia,Tanzania,Slovakia,Iraq,United Kingdom,Lithuania,Moldova,Bolivia,Panama,Peru,Brazil,Cameroon,Nepal,South Korea,Ukraine,India,Paraguay,Pakistan,Zimbabwe,Trinidad and Tobago,Algeria,Central African Republic,Japan,Haiti,Philippines,France,Cuba,Cambodia,Burundi,Uganda,Mongolia,Niger,Singapore,Hungary,Armenia,Turkey,Thailand,Venezuela,El Salvador,Greece,Poland,Bulgaria,Jordan,Kyrgyzstan,Togo,Botswana,Romania,Denmark,Senegal,Latvia,Morocco,Bahrain,Dominican Republic,Italy,Zambia,Benin,Belgium,Uruguay,Egypt,Norway,Canada,Mozambique,China,Honduras,Indonesia,Austria,Sierra Leone,Kenya,Chile,Mali,Tajikistan,Ecuador,United Arab Emirates,New Zealand,Lesotho,United States,Sweden,Finland,Costa Rica,Namibia,Nicaragua,Colombia,Sri Lanka,Mauritius,Rwanda,Portugal,Switzerland,Ireland,Slovenia,Kazakhstan,Croatia,Kuwait,South Africa,Guatemala,Malawi,Mexico,Tunisia,Spain,Argentina,Ghana,Mauritania,Estonia,Albania,Australia,Netherlands,Jamaica
2004,71.73214270100367,78.53065149813516,58.81638060101506,59.35025869617034,65.61756812151904,56.289791480165775,71.08797693303133,58.01445,172.9265311833335,67.12220041926923,73.81009894623297,57.84792366526961,73.71502777855606,78.38785898949236,77.01313852972194,67.38916130043219,67.74147962947025,68.66446013205129,71.60684503571716,63.544540610361565,60.45373786108603,66.73616179877804,72.1608513090776,58.45421321552538,65.2490720870579,54.24792007018671,68.5606463184576,71.35188508960914,58.83033706228285,62.128283429862094,69.07255417063604,-84.1460607142858,70.3313813085318,72.1829730776634,75.59876935993229,72.20215009275114,71.47998533715676,67.15682450701861,71.2441827457548,52.18593114008088,67.37695709721366,72.60857480653839,69.38375386853527,59.46542258407198,70.39850998525952,67.6039265378948,69.26487453286178,66.57707569904545,76.3219663810703,78.65405795371171,59.536723078876946,70.15856398625944,63.437367683501485,74.10801706857816,71.80830252992158,83.19368047292541,67.90329308273425,76.9593871344237,58.12874691828585,61.01134,68.51927238868223,69.207529824319,62.78261944059882,64.25182477261752,73.44115745328226,70.77060740259554,57.08092140398244,85.56312845540342,76.15427970189675,68.02059990171294,69.8168541065292,66.2455703748232,65.76250152658989,76.61363371892641,60.888332519334185,64.06365391174765,67.94285573704809,56.2377886263778,69.80044817789104,68.91978601842375,61.859964629829264,80.85289739198171,68.69006728564668,73.90407001056822,88.79218189074119,85.60176005797065,70.54845968619456,70.25142173581878,67.42293342996457,71.42822339163848,64.93662423788928,64.44977249966362,72.32214723177958,73.22918461755357,74.85833757200508,71.1729545274408,73.52631715067868,72.34815188230284,72.93329055573157,60.84643982182281,80.92999520817244,62.638223696792835,65.975164498172,68.4943772211677,61.22392655118362,74.16935241279293,74.2808529089636,65.58265416253472,57.513894012812884,76.11276989974408,66.44942562007932,74.70101775042632,80.33690938658991,72.67763884664969
2005,71.63008776797513,78.51509539876102,58.8673715072912,59.539690794805516,65.63635367464556,54.68804220840734,71.11367147644643,58.01445,60.60049333333335,67.33034467350848,73.80586961476098,57.84792366526961,73.7224362958678,78.20078603812154,77.66697541226516,70.00514993444197,67.73180548778461,68.66172359277513,71.6905880054579,61.971035377013564,60.44237386808847,67.35443261117214,72.19085214096351,58.45903903167426,65.20203387096772,54.287611938996996,70.2894833762977,71.3396175404796,58.82503979275185,62.15968690025217,69.09193410753791,61.11253499999998,70.3319737141405,72.19189250782878,75.54243854577146,72.19961229015651,72.61593702120264,67.16861781515911,71.2766104659824,52.186560040627555,67.3631366879836,72.59844580178509,69.21794037679122,59.46787506905387,70.54365467434508,67.61829106349148,69.27989640705972,66.57298297095215,76.21041886990125,78.40632408247075,59.527289997791726,63.67821703513472,63.43742024411987,74.5002869851551,71.82536418272258,83.19368047292541,68.43967674302425,81.63416305936458,58.15569774529677,61.01134,68.51981677889884,69.14091092380576,62.760522039106995,64.25827714471134,73.43824945758237,70.77348534195829,56.61381439005182,86.13196135213104,76.09458532665768,68.02838131233472,45.748552552921076,63.54515408140043,65.7640619278874,76.66967772301234,60.8806311453227,64.06216343592816,69.20067439736059,56.24453589767232,69.86995876083422,68.91978601842375,61.83489622150803,77.81329647319687,68.68101207441299,73.91274734362236,88.78090439058344,85.66713406532209,70.57788535996177,74.66991652166766,67.65746093615058,71.44534926390446,64.95358645039335,64.27143513105084,72.3218227810072,73.40358862882137,74.84524655207058,71.14842790794414,73.52036583227253,72.33435284615797,72.93329055573157,63.53351839170861,82.46702005546584,62.63182423308759,65.98014598848854,68.54394149832694,61.226665184973555,74.15934812614066,74.2819802044317,65.5796579247652,57.51531557315687,76.11958854185823,66.50432415325128,74.73863119814902,80.52062116806894,72.53491406611712
2006,71.42597790191805,78.56176369688345,61.24303783069659,59.55442440247714,65.65889633839738,-3.426333642391816,71.1051066286414,58.01445,60.93715666666668,67.37416451650623,74.61713997771848,58.107455439931975,73.72984481317951,78.46268817004069,77.77594822602236,67.38916130043219,67.73503020167983,68.58510049304239,71.77433097519865,61.97823853216973,60.42816887684151,66.6914982725989,72.73086711490994,58.62456184457202,65.2490720870579,54.37140588426317,101.43002990813801,71.3396175404796,58.81868306931465,62.15968690025217,69.09789716504616,69.44945642857141,70.3313813085318,72.19189250782878,75.35936339974876,72.19199888237263,72.79915503475843,67.93705666991796,72.68757660388572,52.187188941174234,67.28712443721827,72.56603298657458,69.01067351211115,60.118372185651,70.37618003309252,67.61829106349148,69.40007140064327,66.57707569904545,76.15464511431671,78.60451117946353,59.574455403217804,63.57021125261598,63.43747280473826,74.94859546124304,71.89361079392661,83.20539858407635,68.43967674302425,76.66345670989726,60.30194610490224,61.01134,68.52144994954871,68.04169906533755,62.72001013637198,65.66349624721022,73.43679545973244,70.7634125541887,56.6154407222905,85.53906954252899,76.06473813903814,68.03616272295649,69.7238329209622,65.87634495049507,65.76510219541908,76.6920953246467,60.865228397299745,63.869486645790445,68.01099853266908,56.32212951755938,69.88565469891817,68.95282057005795,60.979436787546135,77.77791524960492,68.68101207441299,73.90840867709528,88.78090439058344,85.76519507634924,70.58180878313073,70.25133551792177,67.38942950050944,71.43250485970498,64.95697889289416,64.26680299160635,72.32140984366052,73.51985796966657,74.8256100221688,71.14434013802803,73.52869767804114,72.34125236423041,73.04390360534573,61.80604115288565,81.85221011654846,62.638223696792835,66.00007194975464,68.54889792604287,61.22301367325363,74.14934383948837,74.2831074998998,65.57466419514934,57.5977660731081,76.14686311031488,66.27375031392907,74.77624464587174,80.97990062176649,72.53556942831995
2007,70.660565904204,78.56176369688345,58.876642581159594,59.56073880576498,65.68143900214922,54.68804220840734,72.55110988356523,58.01445,61.273820000000015,67.40702939875452,73.84816292948089,57.86979936800162,73.73478382472067,78.35044439921819,77.99389385353678,69.9715167558098,67.7253560599942,68.57689087521388,71.94181691468015,62.03586377341909,60.34720042673386,66.67235676137926,72.55086212359447,58.46306054513167,64.98252219588028,54.38463650719993,70.65620638856682,71.29872571004776,58.80173180681547,62.1575933355595,69.11131404443977,65.77140285714285,70.34145220387968,72.28108680948247,75.44385962099001,72.16577492222815,72.98237304831422,67.20006663686709,71.27300738595711,52.187817841720914,67.22493259568299,72.56400718562392,68.07797262105085,59.54880707345632,70.53248969826157,67.61959692945481,69.45640342888557,66.93688788936828,75.95943696977086,78.65405795371171,59.59803810593085,72.04866518033748,60.19779396898224,75.228788258798,71.79124087712056,83.18196236177448,73.26712968563422,76.66345670989726,58.20574928117419,61.01134,68.52008897400717,63.31642045193446,60.49038232584685,64.31204691215983,73.4353414618825,70.74758388769365,57.08092953564363,85.49897135440494,76.04981454522837,68.04653793711887,69.53779054982819,65.86157593352195,65.76926326554577,76.74813932873263,60.8806311453227,64.05828819879747,68.03046790284651,56.30526133932307,69.89238152952558,68.95649107579509,60.6378797241694,80.85289739198171,68.74439855304877,73.90840867709528,88.78090439058344,85.8632560873764,70.60534932214449,74.60094220406152,67.89198844233661,71.42394192357199,64.9875108754015,64.27606727049533,72.32111488841291,73.79599765417392,74.79942798229979,71.11981351853137,73.67969452864199,72.52753935218615,72.96094381813512,61.81091222563216,83.08182999438321,62.70541806569787,66.01501642070423,70.65329800567037,61.219818600498705,74.11933097953153,74.28367114763385,65.57366544922617,57.606295435172015,76.10595125762991,66.28473002056346,74.77624464587174,81.30139623935479,72.53819087713127
2008,70.63505217094686,78.59287589563175,58.73757647313376,59.49548997179064,65.6701676702733,54.61523542332741,72.55110988356523,58.01445,61.61048333333335,67.45084924175225,73.83970426653691,57.87995594427005,73.73478382472067,78.05112767702487,78.17551520979877,69.94268831698223,67.7285807738894,68.56868125738538,72.10930285416165,62.03826482513781,60.28469846524725,66.62769323520013,72.49086045982264,58.46225624244018,64.7943693315196,54.42432837601022,70.18470537279224,71.3150824422205,58.79537508337827,62.155499770866825,69.11280480881683,67.97823499999998,70.3390825814449,72.29892566981322,75.50019043515084,72.16577492222815,73.16559106187,67.20661847472293,71.17212114524901,52.40551491045632,67.1834713679928,72.55590398182129,68.43032629100696,59.565974468329564,70.62180950692961,67.61916164080037,69.4714253030835,66.58321479118541,75.76422882522502,78.45587085671895,59.60275464647346,81.73246364096816,60.20830609266041,75.39690393733098,71.72299426591653,83.20539858407635,74.16110245278422,76.81142192216048,58.232700108185114,61.01134,68.52036116911547,67.54205731148835,62.675815333388336,64.31849928425365,73.28863307882378,70.73895006960544,56.624385549603204,85.48293207915533,75.94534938855999,68.05431934774064,69.6308117353952,65.8320378995757,66.04673902560691,76.66967772301234,60.865228397299745,64.0520282003556,68.04669237799436,56.288393161086745,69.88341242204903,68.95893807961984,60.60967776480802,77.76022463780895,68.7579813698993,73.92142467667648,88.79218189074119,87.02250067273576,70.60731103372896,70.25124930002475,68.12651594852262,71.43250485970498,64.99429576040312,64.25522264299514,72.32079043764051,73.85413232459652,74.78960971734891,71.11572574861526,73.5191755685913,74.74014580283534,72.98859708053865,62.08369229943682,79.70037533033769,62.721416724960974,67.60005191706833,68.56872363690657,61.21844928360374,74.17935669944522,74.28479844310195,65.58565040030425,58.54500859272017,77.65235110270055,66.3615879670042,74.6257908549809,81.34732418472454,72.5388462393341
2009,70.45645603814692,78.67065639250248,61.24294511995791,59.609149230971745,65.65513922777208,54.61523542332741,71.27640358474207,58.01445,172.93494776666685,67.47275916325113,73.80586961476098,57.88347168220913,73.76194838819698,79.13615079497569,78.39346083731319,69.76971768401681,67.8382210463265,68.56868125738538,72.23491730877276,62.04066587685653,60.276175470499076,66.63407373894,72.68586586708108,58.466813957691905,64.77868992615622,54.472840660111686,70.23709437454497,71.32326080830686,58.79007781384727,63.61115530168131,69.30344375735606,68.7138457142857,70.3384901758362,72.31676453014396,70.92795907675156,72.1505481066604,73.12894745915884,67.20530810715177,71.17212114524901,52.186560040627555,66.84172719875644,72.53969757421604,68.28523948573091,59.58314186320281,70.67763438734713,67.6174204861826,69.51273545712786,66.61595661593184,75.73634194743276,78.45587085671895,59.60275464647346,71.83265361529999,60.22407427817766,74.78047978271007,71.70593261311552,83.14680802832166,75.4126643267942,77.1813349528185,60.30202310726513,61.01134,68.51872799846561,67.47543841097513,62.66844953289106,64.32710244704542,73.42807147263281,70.72743831215448,56.62926454631922,85.50699099202976,75.94534938855999,68.08025738314657,69.44476936426118,65.87634495049507,65.78538741228672,76.75934812954982,55.77200170854745,64.0496434390444,68.0758964332605,56.26477771155591,69.86547420709596,68.97606710639312,60.584609356486794,77.76022463780895,68.74892615866561,73.91274734362236,88.80345939089892,85.89594309105212,71.25991362653797,74.54058967615616,85.23027193537428,71.44534926390446,64.9892070966519,63.35980692767836,72.32081993316528,73.88319965980783,74.77979145239802,71.0911991291186,73.6797064312788,72.76212296664895,73.37574275418821,62.41005417345312,85.84847471951133,62.71181752940311,66.10219250124345,68.60341863091804,61.21388489395384,74.27939956596805,74.2831074998998,65.58065667068838,57.60913855585999,76.31732916316892,65.80162292865029,74.73863119814902,81.34732418472454,72.53917392043553
2010,70.17580497231845,78.70176859125077,58.81174506408087,59.61756843535553,66.70232110125689,54.61523542332741,71.3106629759622,58.01445,62.45214166666668,67.49466908475,73.75934696856906,57.88347168220913,73.77923492859101,79.77219882963652,77.77594822602236,69.72167028597086,67.83499633243129,68.55499856100452,91.39321521121278,62.04066587685653,60.26481147750151,66.63407373894,72.8508704424536,58.468690663972026,64.71597230470266,54.51253252892198,70.44665038155588,71.3396175404796,58.79113726775347,62.14503194740347,69.13367551009576,68.95904928571429,70.33967498705358,72.31676453014396,75.6128520634725,71.71701528942022,93.18985419940907,67.20268737200942,71.19373962540075,52.18750339144757,67.13509993568758,72.068172144941,68.38887291807094,59.601535500567,70.72229429168114,67.61654990887371,69.54277920552374,66.62618843616511,75.82000258080956,90.68203287020351,59.701801997868216,71.53563771337343,60.1767697216259,75.06067258026502,71.89361079392661,83.12337180601978,76.84302075423419,77.36629146814752,58.27890152591812,61.01134,68.52063336422378,67.40881951046191,62.64635213139923,64.33355481913924,73.42225548123307,70.70873170629669,56.628451380199884,85.5551088177786,76.09458532665768,69.52874103235546,69.25872699312715,65.85172992220653,65.78746794735007,76.7817657311842,60.834422901253824,64.04666248740541,68.10185559349706,56.24116226202506,69.86547420709596,68.9772906083055,60.55327384608526,77.7956058614009,68.76250897551614,73.94745667583886,88.83729189137216,87.02250067273576,70.60731103372896,74.54921146585693,68.59557096089466,71.54810449750033,64.98581465415108,64.25290657327288,72.30735375133511,73.95586799783608,74.77324594243076,71.07076027953806,73.52750741435992,72.82421862930086,73.54166232860945,62.43928060993219,221.8936180031455,62.718216993108356,66.11464622703477,68.63315719721359,61.08210640037167,74.34942957253402,74.28451661923492,65.5796579247652,57.61198167654796,76.52188842659376,65.84554175518785,74.70101775042632,81.3932521300943,72.54114000704402
2011,70.02272257277563,80.19375408222514,58.80247399021248,59.64493084960284,65.63635367464556,54.68804220840734,71.37061691059743,58.01445,60.93715666666668,67.60421869224433,74.61705539108904,57.8842529573067,73.80392998629675,79.62254046853987,78.82935209234199,69.70245132675248,67.83177161853608,68.59057357159473,72.69550364234689,62.04546798029398,60.25628848275334,66.63407373894,72.95587335405429,58.47029926935499,64.57485765643216,54.534583567149916,70.70859539031954,71.34370672352277,58.78795890603487,62.1722482884082,69.13516627447282,-84.13870460714294,70.34441423192318,72.33014367539201,75.55652124931167,72.14547250147113,73.53202708898158,67.21185994500759,71.19373962540075,52.193792396914354,67.13855503799509,72.55792978277195,68.30596617219892,59.65058520020485,70.82277907643267,67.6174204861826,69.54277920552374,66.93694928028968,76.34985325886255,78.9513385992009,59.71595161949604,71.23862181144688,60.13997728875232,75.28482681830899,72.18365889154374,83.06478125026509,181.5129282232241,77.44027407427913,58.405955424683896,61.01134,68.52172214465703,67.27558170943546,60.49034549684436,64.31849928425365,73.28861853884527,70.24729729857211,56.631704044677235,85.63530519402669,76.24382126475537,68.06988216898421,68.51455750859108,65.8369609052334,65.78902834864758,76.87143613772167,60.819020153230866,64.04457582125812,68.14079433385191,56.22092044814148,69.86547420709596,68.97851411021787,60.57207515232618,80.85325120421763,68.76703658113297,73.97782734152833,88.83729189137216,85.97766060024142,70.62104301482033,74.53196788645539,69.90222420964533,71.55238596556683,65.00108064540476,64.21816552743923,72.32037750029384,75.79989974364096,74.76342767747988,70.40502607100052,73.58702059842142,72.88631429195277,73.62462211582007,62.48312026465079,86.4632846584287,62.74381484792932,66.13457218830087,68.66289576350914,61.08210640037167,74.44947243905685,74.28508026696898,65.57865917884203,57.616246357579925,76.43324607910967,65.91141999499419,74.88908498903986,81.57696391157333,72.54376145585535
